"a_Name","City","State","Region","Profit_Status_","Year","Total_Revenue","Net_Income","Net_Patient_Revenue","Total_Operating_Expense","Operating_Income","Interest_Expense","Bad_Debt","Total_Assets","Total_Liabilities","Net_Assets_Equity","LongTerm_Liabilities","Current_Assets","Current_Liabilities","Net_Patient_Accounts_Receivable","Total_Operating_Revenue","Cash_and_Cash_Equivalents","Depreciation_and_Amortization","EBITDA_EBIDA","Audited_by"
"Lehigh Valley Hospital & Health Network (PA)","Allentown","PA","Northeast","Not-For-Profit","2013","1593617000","61794000","1520026000","1528888000","32984000","22719000","117493000","2110547000","1044754000","1065793000","878874000","321944000","165880000","223856000","1561872000","25989000","84574000","140277000",""
"Lehigh Valley Hospital & Health Network (PA)","Allentown","PA","Northeast","Not-For-Profit","2012","1567227000","132432000","1473259000","1431365000","82918000","22318000","106247000","1969291000","1072590000","896701000","901619000","304005000","170971000","209002000","1514283000","","","",""
"Lexington County Health Services District (SC)","Lexington","SC","South","Not-For-Profit","2017","978429000","-9200000","974023000","987629000","71000","15446000","204337000","1470717000","1301348000","289062000","1152370000","414998000","148978000","118151000","987700000","175064000","50353000","50424000",""
"Lexington County Health Services District (SC)","Lexington","SC","South","Not-For-Profit","2016","951232747","21301430","924788023","914350598","26566013","14089699","174905149","1396052713","1210412610","298262496","1100272958","377762100","110139652","115372537","940916611","160073237","50702386","154536798",""
"Lexington County Health Services District (SC)","Lexington","SC","South","Not-For-Profit","2015","890442112","86500808","878081579","803941304","90955095","12921371","170621434","1163627188","886720682","276906506","795480519","323152286","91240163","98517851","894896399","142118950","49261940","140217035","KPMG"
"Lexington County Health Services District (SC)","Lexington","SC","South","Not-For-Profit","2014","820743425","88857734","810305802","731885691","94483721","12924210","176850105","1058141357","867915659","190225698","779489088","250388066","88426571","96030785","826369412","113311452","47739265","142222986","KPMG"
"Lexington County Health Services District (SC)","Lexington","SC","South","Not-For-Profit","2013","714480304","14085516","715180450","700394788","26708534","13116508","168670879","940234049","320807967","619426082","242383599","247313829","78424368","99584310","727103322","103021711","46268119","72976653",""
"Lexington County Health Services District (SC)","Lexington","SC","South","Not-For-Profit","2012","668806999","41659722","661071287","627147277","43429307","12950770","132258333","939030572","332296932","606733640","243159901","274699688","89137031","99789806","670576584","","","",""
"Lexington County Health Services District (SC)","Lexington","SC","South","Not-For-Profit","2011","591942001","53525473","592812986","538416528","63846143","15013141","","882350610","314831712","567518898","242789795","278644369","72041917","83527352","602262671","","","",""
"LHC Group (LA)","Lafayette","LA","South","For-Profit","2016","900525000","45942000","","829471000","70562000","2936000","14790000","614071000","212519000","401552000","132052000","149741000","80467000","124803000","900033000","3264000","12160000","82722000","KPMG"
"LHC Group (LA)","Lafayette","LA","South","For-Profit","2015","797580000","41650000","","730780000","66343000","2302000","19243000","566054000","208261000","357793000","138095000","138830000","70166000","110350000","797123000","6139000","11955000","78298000","KPMG"
"LHC Group (LA)","Lafayette","LA","South","For-Profit","2014","718117000","28752000","","672366000","45486000","2486000","15780000","491739000","170144000","321595000","109302000","135352000","60842000","97498000","717852000","531000","9571000","55057000","KPMG"
"LHC Group (LA)","Lafayette","LA","South","For-Profit","2013","644617000","29146000","","597617000","46737000","1995000","13929000","422226000","126342000","295884000","66696000","129555000","59646000","88964000","644354000","14014000","8325000","55062000","KPMG"
"LHC Group (LA)","Lafayette","LA","South","For-Profit","2012","625878000","35428000","","571389000","54305000","1550000","11875000","386894000","114680000","272214000","59470000","120730000","55210000","83951000","625694000","9720000","7806000","62111000","KPMG"
"LHC Group (LA)","Lafayette","LA","South","For-Profit","2011","623333000","-3651000","","627934000","-6382000","1018000","12320000","396376000","129642000","266734000","72106000","138265000","57536000","91183000","621552000","256000","7521000","1139000",""
"Liberty Health (NJ)","JerseyCity","NJ","Northeast","","2013","367141407","30222435","334342302","336918972","30222435","8187313","16836189","403366602","376455244","26911358","320516974","82673271","55938270","26312817","367141407","","","",""
"Liberty Health (NJ)","JerseyCity","NJ","Northeast","","2012","329412420","14702029","297173039","314710391","14702029","10185197","15124521","413046006","416527203","-3481197","356896787","78691656","59630416","27513081","329412420","","","",""
"Liberty Health (NJ)","JerseyCity","NJ","Northeast","","2011","299715956","-2955475","273846486","302671431","-2955475","11187678","14530057","226685258","263676139","-36990881","216481444","48690371","47194695","19898629","299715956","","","",""
"LifeBridge Health (MD)","Baltimore","MD","South","Not-For-Profit","2017","1583804000","111004000","1461607000","1472800000","54254000","28567000","47341000","2060313000","991054000","1069259000","706882000","660465000","284172000","145639000","1527054000","356365000","77214000","160035000",""
"LifeBridge Health (MD)","Baltimore","MD","South","Not-For-Profit","2016","1468402000","40687000","1416638000","1427715000","49710000","28574000","56982000","1927102000","1003055000","924047000","727431000","620679000","275624000","141651000","1477425000","322937000","75699000","154343000","KPMG"
"LifeBridge Health (MD)","Baltimore","MD","South","Not-For-Profit","2015","1361907000","199524000","1146700000","1162383000","50746000","20687000","54845000","1884648000","958343000","926305000","689026000","618929000","269317000","142212000","1213129000","356973000","62697000","134130000","KPMG"
"LifeBridge Health (MD)","Baltimore","MD","South","Not-For-Profit","2014","1131486000","84954000","1017493000","1046532000","31253000","18997000","56245000","1350400000","625272000","725128000","423561000","409824000","201711000","121324000","1077785000","219711000","62053000","112303000","KPMG"
"LifeBridge Health (MD)","Baltimore","MD","South","Not-For-Profit","2013","1050138000","36353000","982632000","1013785000","20173000","19916000","52021000","1274110000","649562000","624548000","459784000","369300000","189778000","121993000","1033958000","181529000","59950000","100039000",""
"LifeBridge Health (MD)","Baltimore","MD","South","Not-For-Profit","2012","1024217000","39614000","952325000","984603000","23262000","19619000","43562000","1209693000","668704000","540989000","481775000","342689000","186929000","113507000","1007865000","","","",""
"LifeBridge Health (MD)","Baltimore","MD","South","Not-For-Profit","2011","968498000","41027000","912852000","927471000","21066000","16029000","41909000","1166070000","641966000","524104000","457919000","345554000","184047000","114399000","948537000","","","",""
"LifePoint Hospitals, Inc. (TN)","Brentwood","TN","South","For-Profit","2017","6291400000","112900000","6291400000","6131600000","159800000","148800000","971700000","6286400000","3875600000","2285800000","3130700000","1265200000","744900000","822400000","6291400000","112000000","350600000","659200000",""
"LifePoint Hospitals, Inc. (TN)","Brentwood","TN","South","For-Profit","2016","6364000000","131800000","6364000000","6159200000","204800000","149200000","909600000","6319000000","4090600000","2228400000","3302400000","1315300000","788200000","912700000","6364000000","96100000","344600000","698600000","Ernst & Young LLP"
"LifePoint Hospitals, Inc. (TN)","Brentwood","TN","South","For-Profit","2015","5214300000","193000000","5214300000","4911800000","302500000","114400000","800100000","5996800000","3688000000","2308800000","3069300000","1266000000","618700000","743700000","5214300000","284000000","279000000","695900000","Ernst & Young LLP"
"LifePoint Hospitals, Inc. (TN)","Brentwood","TN","South","For-Profit","2014","4483100000","134900000","4483100000","4280100000","203000000","123000000","817800000","5355300000","3173400000","2181900000","2590100000","1223400000","583300000","752600000","4483100000","191500000","250500000","576500000","Ernst & Young LLP"
"LifePoint Hospitals, Inc. (TN)","Brentwood","TN","South","For-Profit","2013","3678700000","132600000","3678300000","3466800000","211500000","97000000","750400000","5586800000","3354200000","2232600000","2298500000","1594200000","1055700000","595700000","3678300000","637900000","228200000","536700000",""
"LifePoint Hospitals, Inc. (TN)","Brentwood","TN","South","For-Profit","2012","3391800000","155600000","3391800000","3147700000","244100000","100000000","624400000","4722200000","2649100000","2073100000","2204200000","925300000","444900000","518800000","3391800000","","","",""
"LifePoint Hospitals, Inc. (TN)","Brentwood","TN","South","For-Profit","2011","3026300000","165700000","3026100000","2762800000","263300000","107100000","518500000","4370100000","2410500000","1959600000","2037700000","840000000","372800000","430600000","3026100000","","","",""
"Lifespan (RI)","Providence","RI","Northeast","Not-For-Profit","2017","2165876000","26942000","1913686000","2138934000","14596000","10094000","68545000","2476065000","1038065000","1438000000","750672000","421442000","287393000","206977000","2153530000","109089000","82895000","107585000",""
"Lifespan (RI)","Providence","RI","Northeast","Not-For-Profit","2016","2022797000","-29043000","1824392000","2051840000","2226000","17202000","64076000","2406069000","1094939000","1311130000","797444000","410778000","297495000","191483000","2054066000","121391000","78795000","98223000","KPMG"
"Lifespan (RI)","Providence","RI","Northeast","Not-For-Profit","2015","1926820000","-9494000","1687528000","1936314000","-32573000","18910000","65188000","2415186000","1054984000","1360202000","757780000","394577000","297204000","197376000","1903741000","105641000","72887000","59224000","KPMG"
"Lifespan (RI)","Providence","RI","Northeast","Not-For-Profit","2014","1815397000","7425000","1619390000","1807972000","5062000","20072000","90600000","2452819000","999342000","1453477000","741172000","384599000","258170000","207870000","1813034000","89653000","66051000","91185000","KPMG"
"Lifespan (RI)","Providence","RI","Northeast","Not-For-Profit","2013","1741979000","16988000","1520887000","1724991000","-19318000","19782000","110982000","2439100000","970116000","1468984000","714694000","350640000","255422000","232822000","1705673000","46936000","60395000","60859000",""
"Lifespan (RI)","Providence","RI","Northeast","Not-For-Profit","2012","1668157000","41440000","1464711000","1626717000","17901000","19992000","90204000","2297402000","958926000","1338476000","750407000","326589000","208519000","205443000","1644618000","","","",""
"Lifespan (RI)","Providence","RI","Northeast","Not-For-Profit","2011","1580562000","-9193000","1421435000","1589755000","4931000","20470000","91666000","2224196000","929668000","1294528000","705561000","326649000","224107000","185090000","1594686000","","","",""
"Loma Linda University Adventist Health Sciences Center (CA)","Loma Linda","CA","West","Not-For-Profit","2017","1736469000","81840000","1649486000","1653166000","84766000","37498000","60794000","3015524000","2045055000","970469000","1753431000","949798000","291624000","282154000","1737932000","151799000","71756000","194020000",""
"Loma Linda University Adventist Health Sciences Center (CA)","Loma Linda","CA","West","Not-For-Profit","2016","1778019000","128827000","1495768000","1649192000","127540000","37523000","69405000","3004325000","2066254000","938071000","1769376000","936599000","296878000","254138000","1776732000","185087000","76443000","241506000",""
"Loma Linda University Adventist Health Sciences Center (CA)","Loma Linda","CA","West","Not-For-Profit","2015","1592989000","68084000","1377776000","1524905000","67390000","37460000","64787000","1840148000","1107981000","732167000","818155000","816002000","289826000","229502000","1592295000","195396000","72097000","176947000",""
"Loma Linda University Adventist Health Sciences Center (CA)","Loma Linda","CA","West","Not-For-Profit","2014","1497286000","34809000","1325948000","1524774000","62297000","26468000","73486000","1829424000","1140772000","688652000","835603000","790800000","305169000","206948000","1524774000","299261000","71476000","160241000",""
"Loma Linda University Adventist Health Sciences Center (CA)","Loma Linda","CA","West","Not-For-Profit","2013","1286880000","101775000","1205005000","1185105000","79342000","17261000","54056000","1349931000","672811000","677120000","433590000","642426000","239221000","149034000","1264447000","","","",""
"Loma Linda University Adventist Health Sciences Center (CA)","Loma Linda","CA","West","Not-For-Profit","2012","1189180000","70864000","1177911000","1118316000","108215000","17323000","47247000","1304550000","703892000","600658000","450582000","603612000","253310000","146570000","1226531000","","","",""
"Loma Linda University Adventist Health Sciences Center (CA)","Loma Linda","CA","West","Not-For-Profit","2011","1154745000","76835000","1134856000","1077910000","116192000","19664000","51041000","1251573000","715955000","535618000","471500000","576526000","244455000","154502000","1194102000","","","",""
"Lompoc Valley Medical Center (CA)","Lompoc","CA","West","Not-For-Profit","2013","60178175","-1004338","58131574","61182513","-1792565","3979590","","147916378","115512941","32403437","100337253","31901016","15175688","7014191","59389948","","","",""
"Lompoc Valley Medical Center (CA)","Lompoc","CA","West","Not-For-Profit","2012","59695721","-1014968","56205067","60710689","-2273484","3946406","","126423780","93016005","33407775","82127566","26405027","10888439","6635457","58437205","","","",""
"Lompoc Valley Medical Center (CA)","Lompoc","CA","West","Not-For-Profit","2011","57087716","758138","53754698","56329578","-1667413","3887436","","123783139","89360396","34422743","80411362","23429844","8949034","6922308","54662165","","","",""
"Lucile Packard Children's Hospital at stanford (CA)","Palo Alto","CA","West","Not-For-Profit","2017","1545159000","45595000","1384829000","1499564000","-12706000","","7657000","3641113000","1217049000","2424064000","908664000","792197000","308385000","287493000","1486858000","406683000","66635000","53929000",""
"Lucile Packard Children's Hospital at stanford (CA)","Palo Alto","CA","West","Not-For-Profit","2016","1412115000","48435000","1313384000","1363680000","38622000","","2433000","3150473000","953573000","2196900000","695548000","885575000","264281000","268174000","1402302000","532900000","56454000","95076000","PWC"
"Lucile Packard Children's Hospital at stanford (CA)","Palo Alto","CA","West","Not-For-Profit","2015","1412315000","138331000","1304113000","1273984000","105841000","","10474000","2870756000","831069000","2039687000","588013000","659647000","243056000","271768000","1379825000","335901000","58532000","164373000","PWC"
"Lucile Packard Children's Hospital at stanford (CA)","Palo Alto","CA","West","Not-For-Profit","2014","1230182000","139122000","1059212000","1091060000","43029000","","12826000","2661246000","770768000","1890478000","592377000","449656000","178391000","231305000","1134089000","174157000","47771000","90800000","PWC"
"Lucile Packard Children's Hospital at stanford (CA)","Palo Alto","CA","West","Not-For-Profit","2013","1218451000","209591000","1083294000","1008860000","146622000","","7705000","2266263000","562853000","1703410000","388270000","457989000","174583000","210696000","1155482000","188409000","37873000","184495000","PWC"
"Lucile Packard Children's Hospital at stanford (CA)","Palo Alto","CA","West","Not-For-Profit","2012","995753000","84925000","921696000","910828000","68830000","","9150000","2031744000","564091000","1467653000","392464000","422356000","171627000","160889000","979658000","","","",""
"Lucile Packard Children's Hospital at stanford (CA)","Palo Alto","CA","West","Not-For-Profit","2011","992558000","170074000","860997000","822484000","92148000","","9711000","1584356000","341739000","1242617000","85332000","358891000","256407000","138755000","914632000","","","",""
"Maimonides Medical Center (NY)","New York","NY","Northeast","Not-For-Profit","2017","1215272000","19755000","1093077000","1195517000","4616000","7500000","2093000","1280394000","987227000","293167000","626657000","98370000","360570000","156321000","1200133000","16195000","47373000","59489000",""
"Maimonides Medical Center (NY)","New York","NY","Northeast","Not-For-Profit","2016","1142983000","19465000","1059970000","1123518000","12228000","8144000","2199000","1119637000","845775000","273862000","511728000","441248000","334047000","160983000","1135746000","19394000","45666000","66038000",""
"Maimonides Medical Center (NY)","New York","NY","Northeast","Not-For-Profit","2015","1064653000","-9921000","1004677000","1074574000","7118000","8135000","583000","1077464000","825062000","252402000","495857000","413496000","329205000","160611000","1081692000","14434000","46807000","62060000","Ernst & Young LLP"
"Maimonides Medical Center (NY)","New York","NY","Northeast","Not-For-Profit","2014","1084764000","26673000","1001779000","1058091000","-6908000","8086000","1308000","1049740000","795287000","254453000","466889000","384305000","328398000","154615000","1051183000","31896000","49924000","51102000","Ernst & Young LLP"
"Maimonides Medical Center (NY)","New York","NY","Northeast","Not-For-Profit","2013","1082748000","25746000","994471000","1057002000","1588000","8569000","2054000","1034621000","791132000","243489000","527359000","385277000","263773000","156396000","1058590000","41730000","50996000","61153000","Ernst & Young LLP"
"Maimonides Medical Center (NY)","New York","NY","Northeast","Not-For-Profit","2012","1031619000","20952000","951289000","1010667000","2133000","10098000","11344000","1008285000","814769000","193516000","555233000","384653000","259536000","141247000","1012800000","","","",""
"Maimonides Medical Center (NY)","New York","NY","Northeast","Not-For-Profit","2011","967233000","-4330000","927676000","971563000","6532000","10608000","15122000","970174000","791952000","178222000","546160000","378172000","245792000","131916000","978095000","","","",""
"Main Line Health, Inc. and Affiliates (PA)","Wynnewood","PA","Northeast","Not-For-Profit","2017","1714182000","51550000","1615688000","1653728000","33160000","6882000","37618000","3632129000","1130438000","2501691000","870726000","438010000","259712000","184995000","1695792000","68086000","98415000","138457000",""
"Main Line Health, Inc. and Affiliates (PA)","Wynnewood","PA","Northeast","Not-For-Profit","2016","1676035000","127848000","1582739000","1548187000","112233000","8337000","37983000","3397378000","1118117000","2279261000","879659000","495757000","238458000","173523000","1660420000","136868000","99550000","220120000","PWC"
"Main Line Health, Inc. and Affiliates (PA)","Wynnewood","PA","Northeast","Not-For-Profit","2015","1644098000","201155000","1517591000","1442943000","143370000","8460000","45539000","3228379000","818270000","2410109000","596258000","499044000","222012000","181646000","1586313000","113918000","98791000","250621000","PWC"
"Main Line Health, Inc. and Affiliates (PA)","Wynnewood","PA","Northeast","Not-For-Profit","2014","1521390000","171798000","1414980000","1349592000","138362000","8627000","50914000","3078875000","790041000","2288834000","583024000","489918000","207017000","158558000","1487954000","102336000","92748000","239737000",""
"Main Line Health, Inc. and Affiliates (PA)","Wynnewood","PA","Northeast","Not-For-Profit","2013","1464590000","183003000","1369402000","1281587000","157183000","0","52664000","2800358000","780198000","2020160000","584125000","497423000","196073000","141069000","1438770000","84258000","85183000","235371000",""
"MaineHealth","Portland","ME","Northeast","Not-For-Profit","2017","2423885000","113107000","2171749000","2310778000","57264000","16223000","111439000","2782898000","1228875000","1554023000","838451000","1059803000","390424000","243191000","2368042000","230303000","125601000","199088000",""
"MaineHealth","Portland","ME","Northeast","Not-For-Profit","2016","2235992000","96331000","1998885000","2139661000","45687000","16164000","99912000","2610888000","1258865000","1352023000","876248000","939889000","382617000","220033000","2185348000","184843000","122504000","184355000","KPMG"
"MaineHealth","Portland","ME","Northeast","Not-For-Profit","2015","2055784000","69225000","1877059000","1986559000","35813000","14661000","97523000","2443875000","1098678000","1345197000","728214000","871215000","370464000","198252000","2022372000","188505000","115352000","165826000","KPMG"
"MaineHealth","Portland","ME","Northeast","Not-For-Profit","2014","1887223000","105422000","1676526000","1781801000","31318000","12326000","102035000","2269316000","909409000","1359907000","569074000","765041000","340335000","198763000","1813119000","117916000","106892000","150536000","KPMG"
"MaineHealth","Portland","ME","Northeast","Not-For-Profit","2013","1812355000","96993000","1594085000","1715362000","18003000","12306000","93255000","2088563000","792846000","1295717000","455950000","680418000","336896000","176087000","1733365000","108746000","103358000","133667000","KPMG"
"Major Health Partners (IN)","Shelbyville","IN","Midwest","Not-For-Profit","2017","448414171","26047433","441408941","425023640","18516282","2656902","","412175850","182864958","229310892","76659854","116560720","106205104","52588680","443539922","24692313","10896563","32069747",""
"Major Health Partners (IN)","Shelbyville","IN","Midwest","Not-For-Profit","2016","412838727","32064752","403665392","381108002","26574206","334027","","377424474","176815378","200609096","78402401","104117064","98412977","44148475","407682208","18664838","6731615","33639848",""
"Major Health Partners (IN)","Shelbyville","IN","Midwest","Not-For-Profit","2015","400761541","27576553","397634940","373500930","27244895","315942","","342909228","176739738","166169490","80722230","105122212","96017508","42168559","400745825","18978731","7442133","35002970",""
"Major Health Partners (IN)","Shelbyville","IN","Midwest","Not-For-Profit","2014","326505212","23207609","325042199","303998105","24056554","700502","","297323059","161416689","135906370","81996151","93767127","79420538","44870457","328054659","16827184","7176002","31933058",""
"Major Health Partners (IN)","Shelbyville","IN","Midwest","Not-For-Profit","2013","198421520","10923791","192996493","187497729","10222011","928350","","181775280","71332463","110442817","34108888","52444906","37223575","22853598","197719740","","","",""
"Major Health Partners (IN)","Shelbyville","IN","Midwest","Not-For-Profit","2012","127667435","9453753","121996164","118213682","6376512","868323","","145951571","48242616","97708955","29382260","29997523","18860356","11595944","124590194","","","",""
"Major Health Partners (IN)","Shelbyville","IN","Midwest","Not-For-Profit","2011","97420529","3943311","93259735","93477218","3160775","892261","","130406171","42469776","87936395","30405259","27654676","12064517","10973621","96637993","","","",""
"Marshall Health System (AL)","Guntersville","AL","South","Not-For-Profit","2016","163620052","7922140","151736928","155697912","3072408","2726794","41902481","218028184","90054995","127973189","66211197","39041222","23843798","17473883","158770320","14514702","8356250","11428658",""
"Marshall Health System (AL)","Guntersville","AL","South","Not-For-Profit","2015","155884845","8847243","144166238","147037602","5844889","2851076","37983045","215617584","95566535","120051049","68136560","42559609","27429975","17408901","152882491","17711078","8484518","14329407",""
"Marshall Health System (AL)","Guntersville","AL","South","Not-For-Profit","2014","144510416","3309566","135101087","141200850","1066492","2962622","39952527","203389185","92185379","111203806","70856104","34068555","21329275","14275908","142267342","12804808","8573751","9640243",""
"Marshall Health System (AL)","Guntersville","AL","South","Not-For-Profit","2013","141964812","1424394","131925992","140540418","-1578495","3063385","43161992","211398848","93911413","117487435","72948569","33841314","20962844","14268374","138961923","","","",""
"Marshall Health System (AL)","Guntersville","AL","South","Not-For-Profit","2012","132431591","696004","123301870","131735587","-1942299","3986126","44132481","215477677","99414636","116063041","75468564","37225454","23946072","26236196","129793288","","","",""
"Marshall Health System (AL)","Guntersville","AL","South","Not-For-Profit","2011","126725280","-383356","117175374","127108636","-3320676","4489474","34395682","217037234","100082220","116955014","74186246","29224959","25895974","11214421","123787960","","","",""
"Marshfield Clinic Health System, Inc. (WI)","Marshfield","WI","Midwest","Not-For-Profit","2017","2230176000","59858000","937721000","2170318000","28099000","15626000","12461000","2246878000","1140378000","1106500000","839035000","573025000","301343000","117142000","2198417000","240702000","72003000","115728000",""
"Marshfield Clinic Health System, Inc. (WI)","Marshfield","WI","Midwest","Not-For-Profit","2016","2153428000","73192000","872664000","2080236000","34973000","9140000","22711000","1701873000","660118000","1041755000","368279000","426714000","291839000","165448000","2115209000","124946000","61080000","105193000","KPMG"
"Marshfield Clinic Health System, Inc. (WI)","Marshfield","WI","Midwest","Not-For-Profit","2015","2073046000","64946000","867142000","2008100000","55231000","11620000","23127000","1620387000","651963000","968424000","379235000","479385000","272728000","145057000","2063331000","188643000","74420000","141271000","KPMG"
"Marshfield Clinic Health System, Inc. (WI)","Marshfield","WI","Midwest","Not-For-Profit","2014","1984123000","46021000","848276000","1938102000","20437000","11329000","29407000","1551303000","648770000","902533000","396679000","416109000","252091000","150972000","1958539000","134858000","66713000","98479000","KPMG"
"Marshfield Clinic Health System, Inc. (WI)","Marshfield","WI","Midwest","Not-For-Profit","2013","1887887000","-2661000","844268000","1890548000","-5045000","9309000","30535000","1498277000","645064000","853213000","408943000","362563000","236121000","190531000","1885503000","114635000","60612000","64876000",""
"Marshfield Clinic Health System, Inc. (WI)","Marshfield","WI","Midwest","Not-For-Profit","2012","1904098000","78888000","837863000","1825210000","48492000","10245000","28827000","1521418000","672044000","849374000","426529000","430374000","245515000","183878000","1873702000","193787000","55978000","114715000",""
"Martin Health System (FL)","Stuart","FL","South","Not-For-Profit","2017","562977000","9159000","527652000","553818000","5753000","8792000","32962000","765122000","447471000","317651000","369969000","307269000","77502000","58533000","559571000","14926000","36872000","51417000",""
"Martin Health System (FL)","Stuart","FL","South","Not-For-Profit","2016","545718000","20991000","512578000","524727000","17734000","9075000","41543000","750666000","463370000","287296000","382834000","364114000","80536000","55773000","542461000","30993000","35984000","62793000",""
"Martin Health System (FL)","Stuart","FL","South","Not-For-Profit","2015","499372000","20996000","485081000","478376000","18064000","9232000","45083000","715193000","453119000","262074000","389936000","326258000","63183000","53594000","496440000","21263000","35628000","62924000",""
"Martin Memorial Medical Center","Stuart","FL","South","Not-For-Profit","2014","403254000","25594000","381920000","377660000","25419000","8181000","37159000","523376000","307768000","215608000","251084000","206302000","56684000","45555000","403079000","11872000","28941000","62541000",""
"Martin Memorial Medical Center","Stuart","FL","South","Not-For-Profit","2013","319495000","22487000","298263000","297008000","23995000","2614000","24626000","513943000","323918000","190025000","259739000","218022000","64179000","36652000","321003000","9638000","23795000","50404000",""
"Martin Memorial Medical Center","Stuart","FL","South","Not-For-Profit","2012","314763000","22485000","286298000","292278000","22521000","3822000","38363000","486397000","328426000","157971000","279143000","220393000","49283000","35313000","314799000","","","",""
"Martin Memorial Medical Center","Stuart","FL","South","Not-For-Profit","2011","359799000","17366000","344278000","342433000","17308000","5420000","32603000","412099000","245304000","166795000","184384000","177137000","60920000","39462000","359741000","","","",""
"Mary Greely Medical Center (IA)","Ames","IA","Midwest","Not-For-Profit","2017","216738646","34478832","184211166","182259814","7684739","3623841","","489457204","166961430","343459229","141633851","38494449","25327579","18224150","189944553","10566241","16624501","27933081",""
"Mary Greely Medical Center (IA)","Ames","IA","Midwest","Not-For-Profit","2016","179085213","4915304","175103252","174169909","7368721","3095398","","481694001","173266594","308427407","145923032","38004208","27343562","18007730","181538630","6551410","17313235","27777354",""
"Mary Greely Medical Center (IA)","Ames","IA","Midwest","Not-For-Profit","2015","191861460","22969518","177080000","168891942","15318481","3255356","","466842738","164160635","302682103","134573529","42670774","29587106","22633640","184210423","5454901","18487336","37061173","McGladrey"
"Mary Greely Medical Center (IA)","Ames","IA","Midwest","Not-For-Profit","2014","200159028","38366555","166167067","161792473","12503265","903832","","442683455","118862287","323821168","87647921","47988831","31214366","19088495","174295738","12861539","14920516","",""
"Mary Greely Medical Center (IA)","Ames","IA","Midwest","Not-For-Profit","2013","188053410","27718080","166934684","160335330","14714221","740412","","407810749","123541136","284269613","90284425","46894016","33256711","17986164","175049551","","","",""
"Mary Greely Medical Center (IA)","Ames","IA","Midwest","Not-For-Profit","2012","180293362","24918532","165485468","155374830","16041639","1136689","","367672234","112540261","255131973","85633636","46477577","26906625","19862924","171416469","","","",""
"Mary Washington Healthcare (VA)","Fredericksburg","VA","South","Not-For-Profit","2017","666446396","58167115","583998505","608279281","26734927","9778130","66946847","744988400","416976120","328012280","330049343","152013779","86926777","76307657","635014208","50869030","39619971","76133028",""
"Mary Washington Healthcare (VA)","Fredericksburg","VA","South","Not-For-Profit","2016","621437071","43513680","581439515","577923391","32259929","11448836","73354231","699364777","424558105","274806672","339036304","193778897","85521801","68928860","610183320","102242106","40892196","84600961",""
"Mary Washington Healthcare (VA)","Fredericksburg","VA","South","Not-For-Profit","2015","580555571","18126201","552863153","562429370","21948357","11999369","64165738","665685946","421249955","244435991","344790480","157357481","76459475","70742445","584377727","62891426","40357262","74304988",""
"Mary Washington Healthcare (VA)","Fredericksburg","VA","South","Not-For-Profit","2014","598423114","21159440","568053877","577263674","19744028","12491256","70313594","661336097","434827697","226508400","350703539","148426145","84124158","73598481","597007702","46496328","37577589","69812873",""
"Mary Washington Healthcare (VA)","Fredericksburg","VA","South","Not-For-Profit","2013","602253562","1524983","561001265","600728579","-8177072","13397653","55328623","652944470","405067420","247877050","328316198","146596085","76751222","70042633","592551507","42878889","37688151","42908732",""
"Mary Washington Healthcare (VA)","Fredericksburg","VA","South","Not-For-Profit","2012","582402865","-12117491","542669569","594520356","-21194969","13846221","12196940","661436742","442652491","218784251","366439306","176957174","76213185","80259722","573325387","","","",""
"Mary Washington Healthcare (VA)","Fredericksburg","VA","South","Not-For-Profit","2011","589834647","1003791","564854279","588830856","5225264","13893834","71248299","694111904","449455655","244656249","366687221","200386745","82768434","106093931","594056120","","","",""
"Maury Regional Healthcare System (TN)","Columbia","TN","South","Not-For-Profit","2015","309332878","12951966","296154015","296380912","11185625","444286","","274986732","82644954","192341778","46990738","83849800","35654216","33666240","307566537","37900703","16880780","28066405",""
"Maury Regional Healthcare System (TN)","Columbia","TN","South","Not-For-Profit","2014","296481426","6905921","283445476","289575505","6328144","723540","","238694603","59304791","179389812","25062032","78637721","34242759","30728755","295903649","37077128","16969349","23297493",""
"Maury Regional Healthcare System (TN)","Columbia","TN","South","Not-For-Profit","2013","287476517","5859487","277946567","281617030","5313872","690225","","230194279","53831691","176362588","21099692","71995171","32731999","32829322","286930902","","","",""
"Maury Regional Healthcare System (TN)","Columbia","TN","South","Not-For-Profit","2012","284035888","13697023","272940381","270338865","12935259","818691","","229677581","59174480","170503101","25021302","72539639","34153178","33098787","283274124","","","",""
"Maury Regional Healthcare System (TN)","Columbia","TN","South","Not-For-Profit","2011","271044054","11253095","265048059","259790959","10945357","1087502","","213826503","57179873","156646630","28595938","61691168","28583935","32677216","270736316","","","",""
"Mayo Clinic Health System (MN)","Rochester","MN","Midwest","Not-For-Profit","2017","12707000000","1421000000","9937000000","11286000000","707000000","113000000","194000000","16307000000","8284000000","8023000000","5938000000","2438000000","2346000000","1791000000","11993000000","66000000","524000000","1344000000","Ernst & Young LLP"
"Mayo Clinic Health System (MN)","Rochester","MN","Midwest","Not-For-Profit","2016","11042000000","519000000","9220000000","10523000000","475000000","104000000","209000000","14921000000","7754000000","7167000000","5411000000","2284000000","2343000000","1635000000","10998000000","57000000","491000000","1070000000",""
