"a_Name","Year","Total_Revenue","NPR","HMA_System_Name","HMA_Member"
"Blue Ridge Healthcare (NC)","2014",254789412,236718089,NA,NA
"BMC Health System (Boston Medical Center) (MA)","2014",2866709000,949547000,NA,NA
"Boca Raton Regional Hospital (FL)","2014",370648221,357106624,NA,NA
"Bon Secours Health System, Inc. (MD)","2014",3512014000,3328510000,"Bon Secours Health System","Y"
"Boston Children's Hospital (MA)","2014",2124579000,1541432000,NA,NA
"Boulder Community Health (CO)","2014",322581975,282756697,NA,NA
"Bozeman Health Services (MT)","2014",246255072,217877307,NA,NA
"Bronx-Lebanon Hospital Center (NY)","2014",662123409,598523082,NA,NA
"Brookdale University Hospital and Medical Center (NY)","2014",476519000,295466000,NA,NA
"Brookhaven Health Care Services Corporation (NY)","2014",271903408,253459035,NA,NA
"Broward Health dba North Broward Hospital District (FL)","2014",1166560000,882973000,NA,NA
"Butler Health System (PA)","2014",275970946,262460577,NA,NA
"Cadence Health (IL)","2014",1367795000,1220917000,NA,NA
"Campbell County Hospital District (WY)","2014",152986720,127854677,NA,NA
"Cape Cod Healthcare, Inc. (MA)","2014",739337611,714975838,NA,NA
"Cape Fear Valley Health Systems (dba Cumberland County Hospital System) (NC)","2014",704631000,658035000,NA,NA
"Capella Healthcare (TN)","2014",6.95e+08,664515502.251931,NA,NA
"Capital Region Medical Center (MO)","2014",157925834,153407347,NA,NA
"Care New England System (RI)","2014",1070645165,983007026,NA,NA
"CareGroup (MA)","2014",2869087000,2354682000,NA,NA
"Carilion Clinic (VA)","2014",1555124000,1328426000,"Carilion Clinic","Y"
"Carolinas HealthCare System (NC)","2014",5154025000,4615482000,"Atrium Health","Y"
"Caromont Health (NC)","2014",560241858,480190753,NA,NA
"Carroll Hospital Center (MD)","2014",294086000,263703000,NA,NA
"Carson Tahoe Health System (NV)","2014",261826000,254670000,NA,NA
"Catholic Health Initiatives (CO)","2014",14536631000,12407244000,"Catholic Health Initiatives","N"
"Catholic Health Services of Long Island (NY)","2014",2192525000,2020730000,NA,NA
"Catholic Health System (NY)","2014",956321000,940697000,NA,NA
"Cedars-Sinai Medical Center (CA)","2014",3087729000,2583354000,"Cedars-Sinai","Y"
"Centegra Health System (IL)","2014",442858000,405499000,NA,NA
"CentraCare Health (MN)","2014",1123897906,1013906521,NA,NA
"Central Florida Health Alliance","2014",385719000,349713000,NA,NA
"Central Washington Hospital & Clinics","2014",272008767,262713378,NA,NA
"CentraState Healthcare System (NJ)","2014",294077000,251223000,NA,NA
"Charleston Area Medical Center Health System, Inc. (WV)","2014",973770000,914844000,NA,NA
"Children's Health Services of Texas dba Children's Medical Center of Dallas","2014",1268867000,1145643000,NA,NA
"Children's Healthcare of Atlanta (GA)","2014",1476716000,1241814000,NA,NA
"Children's Healthcare of California","2014",558510000,448486000,NA,NA
"Children's Hospital and Clinics of Minnesota","2014",809028000,755743000,NA,NA
"Children's Hospital And Health System (WI)","2014",943761000,599810000,NA,NA
"Children's Hospital Colorado Health System","2014",931561000,863661000,NA,NA
"Children's Hospital Los Angeles (CA)","2014",829584000,577720000,NA,NA
"Children's Hospital Medical Center (OH)","2014",2116203000,1435526000,NA,NA
"Children's Hospital Medical Center of Akron (OH)","2014",712306000,616798000,NA,NA
"Children's Hospital of Alabama","2014",710947928,664654875,NA,NA
"Children's Hospital of Omaha (NE)","2014",356400000,333299000,NA,NA
"Children's Hospital of Philadelphia (The) (PA)","2014",2396652000,1892262000,NA,NA
"Children's Mercy Hospital (MO)","2014",1029526000,874915000,NA,NA
"Children’s Hospital of Chicago Medical Center and Affiliated Corporations dba Ann & Robert Lurie Children's Hospital of Chicago (IL)","2014",915847688,706172736,NA,NA
"Children’s National Medical Center (DC)","2014",1052198000,883934000,NA,NA
"Christ Hospital Health Network (The) (OH)","2014",813085000,751504000,NA,NA
"Christiana Care Health Services (DE)","2014",1694371218,1484092106,"Christiana Care Health System","Y"
"CHRISTUS Health (TX)","2014",3632431000,3138736000,"CHRISTUS Health","N"
"Cincinnati Children's Hospital Medical Center (OH)","2014",2120240000,1435526000,NA,NA
"Circle Health, Inc (MA)","2014",459825981,437680630,NA,NA
"City of Hope (CA)","2014",1428151000,798188000,NA,NA
"Cleveland Clinic Health System (OH)","2014",6923458000,6070117000,"Cleveland Clinic","Y"
"CMC (Catholic Medical Center ) Healthcare System (NH)","2014",338549378,313382239,NA,NA
"Columbus Regional Healthcare System (GA)","2014",403527364,362435625,NA,NA
"Columbus Regional Hospital (IN)","2014",345804350,342757719,NA,NA
"Comanche County Memorial Hospital (OK)","2014",242052908,237426810,NA,NA
"Commonwealth Health Corporation (KY)","2014",384499548,343024312,NA,NA
"Community Health Network (IN)","2014",1959981000,1815892000,NA,NA
"Community Health Systems (TN)","2014",1.7585e+10,1.8639e+10,NA,NA
"Community Memorial Health System (CA)","2014",356940890,335818276,NA,NA
"Concord Hospital (NH)","2014",450456000,410475000,NA,NA
"Cone Health aka Moses H. Cone Health (NC)","2014",1423726000,1335608000,"Cone Health","Y"
"Conway Hospital (SC)","2014",188942475,172233199,NA,NA
"Cook Children's Health Care System (TX)","2014",1374877000,907084000,NA,NA
"Cook County Health and Hospitals System (IL)","2014",1492387984,573659569,NA,NA
"Cooper Health System (NJ)","2014",967228000,885915000,NA,NA
"Cottage Health System (CA)","2014",755335730,717835997,NA,NA
"Covenant Health Systems, Inc (MI)","2014",549274000,504231000,NA,NA
"CoxHealth (MO)","2014",1269162697,1068783766,"CoxHealth","Y"
"Crittenton Hospital Medical Center and Subsidiaries (MI)","2014",238925348,221273919,NA,NA
"Crozer-Keystone Health System (PA)","2014",788096000,711001000,NA,NA
"Dana Farber Cancer Center (MA)","2014",1097440000,679175000,NA,NA
"Dartmouth-Hitchcock (NH)","2014",1484735000,1229848000,"Dartmouth-Hitchcock Medical Center","Y"
"DCH Health Authority aka DCH Health System (AL)","2014",475973972,443434583,NA,NA
"Deaconess Health System (IN)","2014",800399307,750857934,NA,NA
"Decatur Hospital Authority dba Wise Regional Health System (TX)","2014",208300568,202285699,NA,NA
"Dekalb Regional Health System (GA)","2014",448953000,413864000,NA,NA
"Delta Regional Medical Center (MS)","2014",122514477,119854175,NA,NA
"Dignity Health (CA)","2014",11362977000,9458456000,"Dignity Health","Y"
"Doctors Community Hospital (MD)","2014",204198157,199604892,NA,NA
"Duke University Health System (NC)","2014",2986852000,2437768000,"Duke University Health System","Y"
"East Alabama Medical Center","2014",304388455,286405967,NA,NA
"East Jefferson General Hospital (LA)","2014",361182586,329861871,NA,NA
"East Texas Medical Center Regional Healthcare System","2014",825676000,731536000,NA,NA
"Eastern Connecticut Health Network","2014",326629574,299755216,NA,NA
"Eastern Maine Healthcare Systems","2014",1380011000,1238683000,NA,NA
"Ector County Hospital District (TX)","2014",311428641,206226164,NA,NA
"Edward-Elmhurst Healthcare (IL)","2014",1187200000,1020074000,NA,NA
"Eisenhower Medical Center (CA)","2014",548196000,495815000,NA,NA
"El Camino Healthcare District (CA)","2014",808052000,719487000,NA,NA
"El Paso County Hospital District (TX)","2014",436967000,162433000,NA,NA
"Elliot Health System (NH)","2014",489407528,455019896,"Elliot Health System","Y"
"Ellis Hospital (NY)","2014",391673456,379123618,NA,NA
"Emerson Health System, Inc. and Affiliates (MA)","2014",191364351,182970859,NA,NA
"Emory Healthcare (GA)","2014",452239000,425308000,"Emory Healthcare","Y"
"Encompass Health Corporation (formerly known as) HealthSouth Corporation (AL)","2014",2299300000,2374300000,NA,NA
"Erlanger Health System (TN)","2014",585398032,571264197,NA,NA
"Essentia Health (MN)","2014",1836714000,1685002000,NA,NA
"Evangelical Community Hospital (PA)","2014",191512016,175694837,NA,NA
"Evergreen Home Health (WA)","2014",566146000,511862000,NA,NA
"Excela Health (PA)","2014",510793000,456488000,NA,NA
"Fairfield Medical Center (OH)","2014",259749920,246401052,NA,NA
"Fairview Health Services (MN)","2014",3586233000,3256081000,"Fairview Health Services","Y"
"Faith Regional Health Services (NE)","2014",175267617,165744674,NA,NA
"Firelands Regional Health System (OH)","2014",236300917,226472213,NA,NA
"FirstHealth of the Carolinas (NC)","2014",618294000,487552000,NA,NA
"Florida Health Science Center","2014",1120645566,1009494444,NA,NA
"Floyd Regional Medical Center (GA)","2014",336078961,325526172,NA,NA
"Forrest General Hospital (MS)","2014",472658453,459454132,NA,NA
"Fort HealthCare, Inc. (WI)","2014",120670977,109952179,NA,NA
"Franciscan Alliance (IN) d/b/a Sisters of St. Francis","2014",2754236000,2425309000,NA,NA
"Franciscan Missionaries of Our Lady Health System, Inc. (LA)","2014",1711999000,1477124000,NA,NA
"Franciscan Sisters of Christian Charity Sponsored Ministries, Inc. (WI)","2014",196857690,174255440,NA,NA
"Frederick Regional Health System Inc. (MD)","2014",362669000,333962000,NA,NA
"Freeman Health System (MO)","2014",508857618,471314575,NA,NA
"Fremont Rideout Health Group (CA)","2014",354641000,323940000,NA,NA
"Froedtert Health (WI)","2014",1781722000,1588466000,NA,NA
"GBMC HealthCare (Parent Co. of Greater Baltimore Medical Center) (MD)","2014",525718000,464116000,NA,NA
"Geisinger Health System (PA)","2014",4269610000,1798583000,"Geisinger Health System","Y"
"Genesis Health System (IA)","2014",586892871,521563549,NA,NA
"Genesis Health, Inc. dba Brooks Rehabilitation (FL)","2014",156643501,121095446,NA,NA
"Genesis Healthcare System (OH)","2014",462082345,391237645,NA,NA
"Gerald Champion Regional Medical Center (NM)","2014",103056001,99601889,NA,NA
"Gillette Children's Specialty Healthcare (MN)","2014",234601296,218087992,NA,NA
"Good Samaritan Hospital (The) (PA)","2014",159381000,160321000,NA,NA
"Good Shepherd Rehabilitation System (PA)","2014",144911233,112245840,NA,NA
"Great Hudson Valley Health System (NY)","2014",161499371,153229467,NA,NA
"Great Plains Regional Medical Center (NE)","2014",42463359,39637609,NA,NA
"Greenville Health System (SC)","2014",1810033000,1726103000,NA,NA
"Greenwich Healthcare Services, Inc and Subsidiaries (CT)","2014",365675000,349008000,NA,NA
"Gundersen Lutheran (WI)","2014",985353000,692708000,NA,NA
"Guthrie Healthcare System (PA)","2014",649920000,572351000,NA,NA
"Gwinnett Hospital System, Inc. (GA)","2014",670616000,629386000,NA,NA
"H. Lee Moffit Cancer Care Center (FL)","2014",868621121,749100046,NA,NA
"Hackensack University Health Network (NJ)","2014",1564562000,1304710000,"Hackensack University Medical Center","N"
"Halifax Health (FL)","2014",423208000,404649000,NA,NA
"Hanover Healthcare Plus (PA)","2014",173930000,165807000,NA,NA
"Hartford HealthCare Corporation (CT)","2014",2532943000,2271219000,NA,NA
"Hawaii Pacific Health","2014",1196188131,1115562490,"Hawai'i Pacific Health","Y"
"HCA (TN)","2014",3.6918e+10,3.6918e+10,"HCA Healthcare","Y"
"Health Care Authority for Baptist Health, Inc. (AL)","2014",565440687,536918621,NA,NA
"Health First, Inc. (FL)","2014",1130102000,721195000,"Health First","Y"
"Health Quest Systems, Inc. (NY)","2014",808759000,763137000,NA,NA
"HealthEast Care System (MN)","2014",925972000,914029000,NA,NA
"HealthPartners, Inc. (MN)","2014",5524170000,2414154000,NA,NA
"Heartland Regional Medical Center (IL)","2014",594943810,498946952,NA,NA
"Henry Ford Health System (MI)","2014",4723129000,2172761000,"Henry Ford Health System","Y"
"Henry Mayo Newhall Memorial Hospital (CA)","2014",236178103,245540837,NA,NA
"Heritage Valley Health System (NY)","2014",459425000,414502000,NA,NA
"Highmark Health (PA)","2014",16939025000,1645992000,NA,NA
"Holland Hospital (MI)","2014",234047252,204327583,NA,NA
"Holy Redeemer Health System (PA)","2014",385827000,340554000,NA,NA
"Holzer Health System (OH)","2014",322037718,315910270,NA,NA
"HonorHealth","2014",1488126480,1437342137,"HonorHealth","Y"
"Hospital Service District No. 1 of Terrebonne Parish (LA)","2014",227408000,184425000,NA,NA
"Hospital Service District No1 of the Parish of Tangipahoa dba North Oaks Health System (LA)","2014",275444173,264509702,NA,NA
"Hospital Sisters Health System (IL)","2014",2253530000,1939495000,"Hospital Sisters Health System","Y"
"Houston Methodist dba The Methodist Hospital System (TX)","2014",3140001000,2864596000,NA,NA
"Hugh Chatham Memorial Hospital (NC)","2014",86240616,74774407,NA,NA
"Hunterdon Healthcare System (NJ)","2014",263811206,249829467,NA,NA
"Hurley Medical Center (MI)","2014",365549084,339260375,NA,NA
"IASIS Healthcare Corporation (TN)","2014",2491815000,1803152000,NA,NA
"Immanuel Health Systems (NE)","2014",68259000,25714000,NA,NA
"Indiana Healthcare Corporation","2014",161785000,140041000,NA,NA
"Indiana University Health","2014",5729490000,5258417000,"Indiana University Health","Y"
"Infirmary Health System, Inc. (AL)","2014",598539841,575684848,NA,NA
"Ingalls Health System (IL) d/b/a UCN Community Health and Hospital Division","2014",378283000,311319000,NA,NA
"Inova Health System (VA)","2014",2812051000,2399633000,"Inova Health System","Y"
"Inspira Health Network (NJ)","2014",451761000,418720000,NA,NA
"INTEGRIS Health (OK)","2014",1454380000,1285359000,"INTEGRIS Health","Y"
"InterHealth Corp (CA) d/b/a/ PIH Health","2014",715537000,670748000,NA,NA
"Intermountain Health Care, Inc. (UT)","2014",5655300000,3468300000,"Intermountain Healthcare","Y"
"Jackson-Madison County Hospital dba West Tennessee Healthcare","2014",641326756,588190053,NA,NA
"Jackson Hospital & Clinic (AL)","2014",190508489,181454036,NA,NA
"Jefferson Health System (PA)","2014",1538600000,1.415e+09,NA,NA
"Jefferson Regional Medical Center","2014",175058149,157235304,NA,NA
"John Muir Health (CA)","2014",1490582000,1269668000,NA,NA
"Johns Hopkins Health System","2014",5482796000,4585284000,"Johns Hopkins Health System","Y"
"Jupiter Medical Center (FL)","2014",199563850,181154315,NA,NA
"Kaiser Foundation Hospitals (CA)","2014",5.7336e+10,54821094729.6643,"Kaiser Permanente","Y"
"Kaleida Health (NY)","2014",1.299e+09,1248262000,NA,NA
"Kalispell Regional Medical Center, Inc. (MT)","2014",259256644,238185352,NA,NA
"Kansas University Hospital Authority","2014",1328277000,1246349000,NA,NA
"Kaweah Delta Healthcare District (CA)","2014",478928448,445836884,NA,NA
"Keck Medicine of USC","2014",1220896686.75994,1167345000,"Keck Medicine of USC","Y"
"Kershaw Health (SC)","2014",104069962,100693535,NA,NA
"Kettering Medical Center Network (OH)","2014",1433564000,1332569000,NA,NA
"Kindred Healthcare, Inc. (KY)","2014",4965267000,5027599000,NA,NA
"King's Daughters' Health (IN)","2014",122200794,116873806,NA,NA
"Kingsbrook Jewish Medical Center and Rutland Nursing Home, Inc. (NY)","2014",197636000,164812000,NA,NA
"KISH Health System (IL)","2014",234026000,218398000,NA,NA
"Lafayette General Health (LGH) (LA)","2014",500946403,475727383,NA,NA
"Lahey Clinic Foundation, Inc. (MA)","2014",1083918000,1038842000,NA,NA
"Lake Hospital System (OH)","2014",315057429,313815512,NA,NA
"Lakeland Healthcare (MI)","2014",357468421,335283652,NA,NA
"Lakeland Regional Health Systems Inc. (FL)","2014",713260000,669247000,NA,NA
"Lancaster General Health (PA)","2014",1071214289,920360254,NA,NA
"Lawrence + Memorial Corporation (CT)","2014",470199608,433230714,NA,NA
"Lawrence Memorial Hospital (KS)","2014",359810349,322198890,NA,NA
"Lee Memorial Health System (FL)","2014",1394429000,1319644000,NA,NA
"Legacy Health System (OR)","2014",1530013000,1425396000,"Legacy Health","Y"
"Lehigh Valley Hospital & Health Network (PA)","2014",1828854000,1644360000,"Lehigh Valley Health Network","Y"
"Lexington County Health Services District (SC)","2014",820743425,810305802,NA,NA
"LHC Group (LA)","2014",718117000,686618530.835467,NA,NA
"LifeBridge Health (MD)","2014",1131486000,1017493000,NA,NA
"LifePoint Hospitals, Inc. (TN)","2014",4483100000,4483100000,NA,NA
"Lifespan (RI)","2014",1815397000,1619390000,"Lifespan","Y"
"Loma Linda University Adventist Health Sciences Center (CA)","2014",1497286000,1325948000,NA,NA
"Lucile Packard Children's Hospital at stanford (CA)","2014",1230182000,1059212000,NA,NA
"Maimonides Medical Center (NY)","2014",1084764000,1001779000,NA,NA
"Main Line Health, Inc. and Affiliates (PA)","2014",1521390000,1414980000,NA,NA
"MaineHealth","2014",1887223000,1676526000,NA,NA
"Major Health Partners (IN)","2014",326505212,325042199,NA,NA
"Marshall Health System (AL)","2014",144510416,135101087,NA,NA
"Marshfield Clinic Health System, Inc. (WI)","2014",1984123000,848276000,NA,NA
"Martin Memorial Medical Center","2014",403254000,381920000,NA,NA
"Mary Greely Medical Center (IA)","2014",200159028,166167067,NA,NA
"Mary Washington Healthcare (VA)","2014",598423114,568053877,NA,NA
"Maury Regional Healthcare System (TN)","2014",296481426,283445476,NA,NA
"Mayo Clinic Health System (MN)","2014",10054200000,8.165e+09,"Mayo Clinic","Y"
"MCG Health Systems, Inc. Dba Georgia Regents Health System","2014",548076898,509921136,NA,NA
"McLaren Health Care Corp. (MI)","2014",3068488000,2129801000,"McLaren Health Care","Y"
"McLeod Health (SC)","2014",889089000,778693000,NA,NA
"MedAmerica Health Systems (OH)","2014",935215000,924426000,NA,NA
"Medical College of Wisconsin (The)","2014",1032200000,343435000,NA,NA
"MEDNAX Services, Inc. (FL)","2014",2434530000,2438913000,NA,NA
"MedStar Health (MD)","2014",4797100000,4035500000,"MedStar Health","Y"
"Memorial Group, Inc. (IL)","2014",306872165,296250428,NA,NA
"Memorial Health Services aka MemorialCare Health System (CA)","2014",2158591000,1439316000,"MemorialCare Health System (CA)","Y"
"Memorial Health System (IL)","2014",943004000,725959000,NA,NA
"Memorial Hermann Healthcare System (TX)","2014",4101838000,3683732000,"Memorial Hermann Health System","Y"
"Memorial Hospital at Gulfport (MS)","2014",408804030,395245346,NA,NA
"Memorial Sloan Kettering (NY)","2014",3431764000,2524598000,NA,NA
"Mercy Health (Formerly Known as Catholic Health Partners) (OH)","2014",4076189000,3838176000,"Mercy Health","Y"
"Mercy Health (MO)","2014",4764366000,3871330000,NA,NA
"Mercy Health Corporation (Formerly) Mercy Alliance, Inc. and Affiliates) (WI)","2014",540868000,435994000,NA,NA
"Mercy Health Services, Inc. (MD)","2014",635551000,585323000,NA,NA
"Mercy Hospital d/b/a Mercy Medical Center (IA)","2014",273418000,255177000,NA,NA
"Meridian Health (NJ)","2014",1498769000,1445279000,NA,NA
"Meritus Medical Center (MD)","2014",377624372,347021195,NA,NA
"Methodist Health System (TX)","2014",1200802000,1169204000,NA,NA
"Methodist Hospitals, Inc. (IN)","2014",334003316,272046404,NA,NA
"Methodist Le Bonheur Healthcare (TN)","2014",1686392000,1565937000,"Methodist Le Bonheur Healthcare","Y"
"Metro Health Corporation (MI)","2014",323932312,309683003,NA,NA
"Metro Health System - Cuyahoga County (OH)","2014",887971000,793345000,NA,NA
"Michigan Medicine","2014",3138983955.87646,3001300000,"Michigan Medicine","Y"
"MidMichigan Health","2014",604516000,550101000,NA,NA
"Mission Health System (NC)","2014",1474833000,1307374000,NA,NA
"Mississippi Baptist Health System","2014",448455764,411208767,NA,NA
"Monongalia Health System (WV)","2014",264927964,244268066,NA,NA
"Montefiore Health System (NY)","2014",3483201000,3257198000,"Montefiore Health System","Y"
"Mount Nittany (PA)","2014",369595621,346669245,NA,NA
"Mount Sinai (FL)","2014",529226000,500687000,NA,NA
"Mount Sinai Health System (NY)","2014",2075235000,1948772000,NA,NA
"Mountain States Health Alliance (TN)","2014",1051187000,924125000,NA,NA
"MultiCare Health System (WA)","2014",1790519000,1717575000,"MultiCare Health System","Y"
"Munson Healthcare (MI)","2014",611626000,554335000,"Munson Healthcare","N"
"Nanticoke Health Services, Inc.","2014",143800243,133083994,NA,NA
"Nash Health Care Systems (NC)","2014",217807964,203117435,NA,NA
"Nationwide Children’s Hospital, Inc. and Subsidiaries (OH)","2014",1919756000,1075294000,NA,NA
"Navicent Health (formerly Central Georgia Health Systems, Inc.)","2014",780192000,693194000,NA,NA
"NCH Healthcare Systems, inc. (IL)","2014",483979153,462832810,NA,NA
"Nebraska Methodist Health System","2014",738367000,671074000,NA,NA
"Nemours Foundation (The) (FL)","2014",1059480664,809802087,NA,NA
"New Hanover Regional Medical Center (NC)","2014",761191000,735072000,NA,NA
"New York-Presbyterian Healthcare System, Inc.","2014",5415256000,4972698000,"NewYork-Presbyterian","Y"
"New York City Health & Hospitals Corporation","2014",7891579000,4948527000,NA,NA
"New York Methodist Hospital","2014",906763000,807712000,NA,NA
"New York Society for the Relief of the Ruptured and Crippled, Maintaining the Hospital for Special Surgery","2014",950651000,750980000,NA,NA
"Newport Hospital (RI)","2014",99706000,95932000,NA,NA
"NewYork- Presbyterian/Queens formerly New York Hospital Medical Center of Queens","2014",693570000,658632000,NA,NA
"Nicklaus Children's Health System (formerly Miami Children's Health System Inc.)","2014",565030831,527255365,NA,NA
"Norman Regional Hospital Authority (OK)","2014",355722035,333144848,NA,NA
"North Brevard County Hospital District (FL)","2014",139875809,146705334,NA,NA
"North Memorial Health Care (MN)","2014",786452759,727428703,NA,NA
"North Mississippi Health Services, Inc.","2014",801678000,747074000,NA,NA
"NorthBay Healthcare System (CA)","2014",449993000,379548000,NA,NA
"NorthEast Georgia Health System","2014",851242735,751499286,NA,NA
"Northern Arizona Healthcare Corporation","2014",594510000,533565000,NA,NA
"NorthShore University HealthSystems (IL)","2014",1978431000,1818244000,NA,NA
"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)","2014",7538318000,6936746000,"Northwell Health","Y"
"Northwest Community Hospital (IL)","2014",530564002,475324779,NA,NA
"Northwestern Memorial Healthcare (IL)","2014",2870593000,2296846000,"Northwestern Medicine","Y"
"Norton Healthcare, Inc. (KY)","2014",1826311725,1783985080,"Norton Healthcare","Y"
"Novant Health (NC)","2014",3822780000,3560826000,"Novant Health","Y"
"NYU Langone Hospitals (Formerly) NYU Hospital Center","2014",2400761000,2039503000,NA,NA
"NYU Winthrop Hospital (formerly) Winthrop-University Hospital Association (NY)","2014",1174957097,1136029705,NA,NA
"Ochsner Clinic Foundation (LA)","2014",2358078000,1846790000,"Ochsner Health System","Y"
"Ohio State University Medical Center","2014",2130784000,2067963000,"Ohio State University Medical Center","Y"
"OhioHealth","2014",3257895000,2678034000,"OhioHealth","Y"
"Olmsted Medical Center (MN)","2014",181115759,173897750,NA,NA
"Orange Regional Medical Center (NY)","2014",383503000,376249000,NA,NA
"Orlando Health (FL)","2014",2152581000,2010881000,NA,NA
"OSF Healthcare System (IL)","2014",2154799000,1998011000,NA,NA
"OU Medical System","2014",946615000,372711000,"OU Medical System","Y"
"Overlake Hospital (WA)","2014",454769000,419757000,NA,NA
"Owensboro Health (KY)","2014",475364000,432109000,NA,NA
"Palisades Healthcare System (NJ)","2014",184368000,176009000,NA,NA
"Palmetto Health (SC)","2014",1166771000,1062979000,"Palmetto Health","Y"
"Palomar Health (CA)","2014",626629000,583616000,NA,NA
"Parkland Health & Hospitals (Dallas County Hospital District) (TX)","2014",1887018000,561343000,NA,NA
"Parkview Health (IN)","2014",1306083000,1267858000,NA,NA
"Parkview Health System, Inc. (CO)","2014",307158246,294272353,NA,NA
"Partners Healthcare System, Inc. (MA)","2014",11047502000,7042558000,"Partners HealthCare","Y"
"PeaceHealth (WA)","2014",2369611000,2051127000,NA,NA
"Peninsula Regional Medical Center (MD)","2014",404946000,374434000,NA,NA
"Phoebe Putney Health System, Inc. (GA)","2014",687798688,607731086,NA,NA
"Phoenix Children's Hospital aka Children's Healthcare of AZ","2014",696861000,691750000,NA,NA
"Piedmont Hospital (GA)","2014",1725890000,1595294000,"Piedmont Healthcare","Y"
"Pinnacle Health System (PA)","2014",893755000,833348000,NA,NA
"Pocono Health System (PA)","2014",274896606,255970573,NA,NA
"Pomona Valley Hospital Medical Center (CA)","2014",525655000,469554000,NA,NA
"Prairie Lakes Health Care System (SD)","2014",98583073,77350994,NA,NA
"Premier Health Partners (OH)","2014",1757214000,1676386000,NA,NA
"Presbyterian Healthcare Services (NM)","2014",2726533000,909779000,"Presbyterian Healthcare Services","Y"
"Presence Health (IL)","2014",2589621000,2352050000,NA,NA
"Princeton HealthCare System (NJ)","2014",395740000,384067000,NA,NA
"ProHealth Care, Inc. (WI)","2014",739169000,640320000,NA,NA
"ProMedica Health System (OH)","2014",2721855000,1526236000,NA,NA
"Providence St. Joseph Health (WA)","2014",18989788000,14376842000,"Providence St. Joseph Health","Y"
"Public Hospital Distrcit No. 1 of King County, DBA Valley Medical Center (WA)","2014",471776035,440712924,NA,NA
"Queen's Health Systems (HI)","2014",1187118000,877130000,NA,NA
"Rady Children's Hospital and Health Center (CA)","2014",912776000,573972000,NA,NA
"Reading Health System (PA)","2014",955810000,848930000,NA,NA
"Redlands Community Hospital (CA)","2014",291132169,124443233,NA,NA
"Regional Health, Inc. (SD)","2014",626039000,527189000,NA,NA
"Regional One Health","2014",362045838,303180150,"Regional One Health","Y"
"Reid Hospital & Health Care Services (IN)","2014",373646619,359683687,NA,NA
"Renown Health (NV)","2014",956140000,603997000,NA,NA
"Rex Healthcare (NC)","2014",789004000,712454000,NA,NA
"Riverside Health System (IL)","2014",305596683,279001234,NA,NA
"Riverview Hospital (IN)","2014",421610176,410539194,NA,NA
"Robert Wood Johnson Health Network (NJ)","2014",1099581000,1011886000,NA,NA
"Rockford Health System (IL)","2014",448157000,385543000,NA,NA
"Rush University Medical Center (IL)","2014",2019540000,1719676000,"Rush University Medical Center","Y"
"Saint Francis Health System (OK)","2014",1175685956,1071692333,NA,NA
"Saint Luke's Health System","2014",1125743975,1016861182,"Saint Luke's Health System","Y"
"Saint Peter's Healthcare System (NJ)","2014",419678000,392589000,NA,NA
"Salem Hospital (OR)","2014",662059000,606886000,NA,NA
"Samaritan Health Partners (OH)","2014",406492000,373568000,NA,NA
"Samaritan Health Services (OR)","2014",909554000,540163000,NA,NA
"San Juan Regional Medical Center (NM)","2014",260048384,240932800,NA,NA
"Sanford Health (SD)","2014",3298637000,2778037000,NA,NA
"Sarasota Memorial Health Care System (FL)","2014",633411438,569585434,NA,NA
"Scripps Health (CA)","2014",2703555000,2109566000,"Scripps Health","Y"
"Seattle Cancer Care Alliance (WA)","2014",442917000,406181000,NA,NA
"Seattle Children's Healthcare System (WA)","2014",1213150000,983456000,NA,NA
"Select Medical Holdings Corporation (PA)","2014",2939738000,2810793487.13538,NA,NA
"Self Regional Healthcare (SC)","2014",346951906,331508315,NA,NA
"Sentara Healthcare (VA)","2014",4787063000,3055259000,"Sentara Healthcare","Y"
"Shands Jacksonville HealthCare (FL)","2014",536323000,518542000,NA,NA
"Shands Teaching Hospitals & Clinics Gainesville (FL)","2014",1226858000,1177446000,NA,NA
"Sharp HealthCare (CA)","2014",3009202000,1780572000,"Sharp HealthCare","Y"
"Sid Peterson Memorial Hospital dba Peterson Regional Medical Center (TX)","2014",116824608,103977243,NA,NA
"Sisters of Charity of Leavenworth (KS)","2014",2.462e+09,2280800000,"SCL Health","Y"
"Skagit County Public Hospital District No. 1 (WA)","2014",283359553,263189787,NA,NA
"Sky Lakes Medical Center (OR)","2014",202547077,188278660,NA,NA
"South Broward Hospital District dba Memorial Healthcare System (FL)","2014",1556609000,1461023000,NA,NA
"South Georgia Medical Center / Hospital Authority of Valdosta and Lowndes County Members","2014",317460000,304704000,NA,NA
"South Lake Hospital (FL)","2014",150980870,142948959,NA,NA
"South Nassau Communities Hospital (NY)","2014",440023294,422048259,NA,NA
"South Shore Health and Educational Corporation (MA)","2014",512776075,479313947,NA,NA
"Southcoast Health System, Inc. (MA)","2014",907379000,838885000,NA,NA
"Southeast Missouri Hospital Association dba SoutheastHEALTH","2014",307899274,289392980,NA,NA
"Southeastern Regional Medical Center (NC)","2014",305850050,282548280,NA,NA
"Southern New Hampshire Health System","2014",303262310,279958618,NA,NA
"Southern Ohio Medical Center","2014",335619765,291686373,NA,NA
"Southern Regional Health System (GA)","2014",305850050,282548280,NA,NA
